City,Cookware,Crockery,Electronics,Farm Fresh,Fashion,Food Services,Healthcare,Home Essentials,Home Fashion,Plastics,Processed Food,Shoes,Sports,Staples,Stationery,Toys,Trolley Bags,Utensils,Wellness,City Type,Literacy Rate (%),City Population (excluding agglomeration) as per 2011 Census ,Avg. CPI for the Period,Area (km2),Total Sale
Asansol,2487419.357,2800423.502,5259208.102,2749654.634,37155072.93,181471.1149,29394050.1,14808,4286111.217,5192360.4,28621607.8,29649.74894,383632.366,26036011.83,9768392.251,2189530.434,4495174.477,4791059.791,2795247.57,Town,83.3,563917,143.6,49,168630885.6
Bhagalpur,,1234,1234,,32400422.66,,,11124.7234,2313605.187,2468,2472.340426,593050.1362,,,183050.5064,8638,26477.3617,3702,,Town,79.26,400146,144,342,35547478.92
Bhubaneshwar,6911649.732,10964260.51,7074638.996,1123880.379,199716680.6,2635829.285,96217517.32,5655842.723,23160038.32,21648148.9,85817238.82,7740744.757,1411944.281,65223728.48,24066656.71,8129330.166,20021579.03,14640275.51,3510542.277,City,91.87,843402,144.5,135,605670526.8
Bilaspur,1281239.957,1500587.63,4173297.766,247961.6894,30317269.64,233372.0128,17543805.72,1505429.06,3176552.026,3724322.272,14026340.02,1063127.613,325211.2426,13886973.56,2124750.919,1417239.294,2380004.63,2398757.996,388633.017,Town,88.13,331030,141.6,345.8,101714876.1
Burdwan,2372522.013,2916523.545,5574540.311,2117807.787,33393354.14,22400.39574,20441850.17,7437.617021,3276933.97,3995496.779,19588367.91,175727.4553,302110.3064,14166456.29,19706998.53,2066979.336,3556570.736,3797518.54,2276430.098,Town,88.31,314265,143.6,59,139756025.9
Cuttack,2034576.323,2798322.643,5517266.106,303929.1617,36881707.64,810208.7191,26176664.51,1526326.026,5304414.336,5227638.557,23752021.71,1197917.498,387858.0085,19244155.1,1981541.038,2281462.209,4784038.323,4086802.753,480547.7021,Town,91,610189,144.5,398,144777398.4
Darjeeling,1001375.894,1542496.238,2216824.353,,17896912.09,207511.0638,9080292.34,8132.553191,2170208.8,3494301.643,8563359.723,235734.8681,347130.5362,9563348.485,1722592.387,2050861.145,1527941.804,2108162.013,153868.5915,Town,93.85,118805,143.6,10.57,63891054.53
Deoghar,1811486.736,1702889.468,3685102.089,333188.1787,24417492.31,15532.30213,19294323.41,193751.9957,3342223.932,3762673.706,17298241.23,883200.0681,278088.9489,14620962.37,2668953.383,1546082.536,3165223.46,2885614.417,179855.2511,Town,85.68,203123,142.2,337,102084885.8
Dhanbad,2483055.587,3197925.119,8648718.74,102878.9787,34640695.05,1373608.289,24678017.65,32518.53191,6152379.991,5210714.438,23604789.51,207609.2255,573305.3021,17606666.37,2886914.085,2523043.617,6245068.723,3942927.362,331290.0723,Town,79.47,1162472,142.2,2052,144442126.7
Durgapur,2768200.434,3946609.085,10117506.29,3740236.851,64111074.64,866470.8936,38556173.68,1808442.357,6847381.689,6623535.668,33842807.3,1624682.804,719003.8638,31169506.22,16526110.59,2886990.183,6249985.557,5712874.409,3115627.472,City,86.02,566517,143.6,154,241233220
Gangtok,1496875.094,1654521.391,3351476.328,176237.3489,26225308.01,414048.0128,11576219.24,14730.12766,3713951.464,4618887.217,12424446.13,1047641.285,361768.6553,14366667.75,1690020.136,1867244.519,1726479.426,2843098.523,38671.02553,City,89.33,100286,141.2,35,89608291.68
Guwahati,7807870.987,13446955.37,59370.82979,3162177.864,208940461.5,7424836.391,75925665.54,4499185.46,20318968.33,23248876.61,64643191.11,7367212.745,1450439.711,59868878.88,10372216.44,8145155.566,14246331.69,15813558.98,3304291.485,City,91.47,957352,142.6,215,550045645.5
Jamshedpur,2188493.702,2711108.379,5338463.455,211730.583,29375996.66,1915957.366,22717806.98,309615.9872,5621901.885,4847736.328,19273826.25,1096925.63,495011.8638,17547023.01,2794643.187,1834935.796,5335605.664,3423525.668,725622.5872,Town,86.91,631364,142.2,209,127765931
Jorhat,1797355.617,2865396.243,3337847.46,704030.6723,47338342.42,62367.69362,17875257.86,14990.17021,4920629.855,6474161.051,19103691.99,823392.2979,434661.5915,15115969.49,1728662.545,2518931.379,3660631.396,4142514.43,558708.6809,Town,83.42,1091295,142.6,9,133477542.8
Kharagpur,2509206.957,2233472.187,6991580.085,1523359.757,43997460.09,6155794.838,21848335.88,1362975.443,3587086.017,4223666.604,23901341.79,1243483.379,327020.3574,18524616.8,29745709.39,1901587.174,4281189.132,3862787.6,1486728.779,Town,85.76,207604,143.6,127,179707402.3
Kolkata,61006916.49,83942349.28,135168694.5,45414601.05,2000588008,42565294.34,859816642.4,13139154.88,154149426.7,148309704.8,958744968,39653510,9617598.971,702099029.2,125357324.7,58271187.67,123524541.6,121953860.6,47474466.44,City,86.31,4496694,143.6,185,5730797280
Nagpur,20557121.79,22719115.27,22404343.47,9252046.9,420143072.4,22378396.95,274078851.3,4414673,43768068.84,50676361.82,192819255.9,20026664.14,4372657.37,220452245.1,60878118.59,19409442.4,43601559.47,31360220.83,6972922.79,City,91.92,2405665,138.5,217.6,1490285138
Patna,17121861.25,27479224.55,41502433.9,7849915.56,432310550.4,9683903.87,234300936.2,48692.8,53580834.25,49441503.82,189814253.6,14913642.85,4249439.27,179825132.3,18595491.3,19304017.04,40043357.93,29445378.11,10479370.75,City,83.37,1684222,144,297.9,1379989940
Raipur,4304977.6,5230821.74,4133098.89,1964198.13,127443302,6896740.1,65966056.83,748274.83,13826243.45,12540858.15,46926646.66,8016501.4,1137986.86,35942257.84,12777238.46,4729141.81,14506344.3,7839137.56,1453934.27,City,85.95,1010433,141.6,226,376383760.9
Ranchi,9340577.99,16479915.03,-62221.22,5342120.97,248896490.8,4477297.34,111957733.2,1282931.41,24632360.85,28212395.83,92150236.74,7605499.17,1954416.23,82653813.79,28672099.17,9494025.13,29676426.4,16489588.07,3777661.51,City,87.37,1073427,142.2,175,723033368.4
Sambalpur,5586852.46,5498122.67,9442586.52,7288194.42,80520402.06,211095.17,56020341.41,409,12004514.31,13616891.9,52996907.49,587432.02,1230373.31,34802523.86,1704049.79,4899006.35,8163995.71,9339753.72,914083.68,Town,85.53,184000,144.5,670,304827535.9
Silchar,2376502.84,3387855,5433230.03,23787.57,49436721.78,1060,18954391.88,0,5946052.57,6435073.73,18902779.39,393438.56,480376.59,19460455.96,4325342.2,3222368.03,4372821.86,5127277.94,799186.36,Town,90.93,172830,142.6,343,149078722.3
